decade,e4,d4,Nf3,c4,Other
1830,132,26,0,0,2
1840,39,7,0,4,0
1850,301,93,2,9,20
1860,309,7,2,11,15
1870,652,57,0,36,46
1880,1270,164,44,42,63
1890,386,139,11,6,17
1900,709,205,14,15,18
1910,481,219,2,11,17
1920,645,635,125,92,31
1930,1533,2967,374,370,59
1940,503,491,107,101,16
1950,3233,3043,818,803,145
1960,7213,4718,954,1454,357
1970,16698,7959,3330,3668,1039
1980,13475,9818,2644,2533,613
1990,92917,64162,16817,13064,5249
2000,646435,384934,92558,76305,32530
