year,num_games,num_moves,avg_elo,max_elo
1976,4460,76.64955156950711,2430.087877422258,2695.0
1977,1934,74.63029989658736,2423.262711864407,2690.0
1978,3538,79.19728660260061,2414.3965633423186,2725.0
1979,2012,73.42743538767382,2371.586781609197,2695.0
1980,3795,74.91198945981579,2370.8942034860115,2725.0
1981,1538,75.07542262678793,2230.150051921083,2700.0
1982,4251,78.19289578922586,2362.5567313345114,2725.0
1983,1062,73.02165725047085,2375.580173347782,2690.0
1984,4756,78.92935239697213,2298.664654756154,2715.0
1985,1319,70.85443517816529,2361.3412356321837,2720.0
1986,4582,79.50567437800089,2327.7183246073296,2740.0
1987,1160,74.48189655172399,2342.994155844156,2740.0
1988,4740,81.92109704641366,2353.6449205585004,2750.0
1989,1880,76.8457446808512,2285.226552984164,2775.0
1990,1795,77.39164345403893,2354.7069922308533,2800.0
1991,1741,78.18897185525546,2331.3090778097985,2800.0
1992,2538,76.7561071710009,2283.7356532356557,2590.0
1993,3002,78.42571618920728,2272.7736520854514,2805.0
1994,2558,78.37412040656761,2152.9215080346103,2805.0
1995,3265,76.08820826952515,2279.8559249786854,2805.0
1996,5870,75.03117546848351,2185.718407812966,2795.0
1997,21400,77.81102803738254,2340.8327490598545,2820.0
1998,58325,76.89316759537098,2298.5121678220817,2825.0
1999,91715,76.30691817042012,2275.693999170857,2851.0
2000,131636,76.46520708620659,2236.3361265400476,2851.0
2001,136595,75.965079248874,2195.530817549937,2849.0
2002,170856,76.23122980755767,2169.2332338439355,2838.0
2003,189226,76.65409087546196,2151.8591098266998,2847.0
2004,215553,77.25140452696044,2144.5373783473046,2831.0
2005,188711,77.20635257086101,2130.2259410197307,2804.0
2006,152058,78.15519078246348,2176.174346486251,2813.0
2007,48127,79.01840962453522,2332.335843913633,2786.0
