elo_diff,num_games,white_win,black_win,draw,exp_score,white_avg,black_avg,all_avg
-160,15093,2556,7335,5202,0.284747249,0.341681574,0.265012295,0.303346934
-150,16050,2882,7344,5824,0.296614997,0.360996885,0.275682352,0.318339618
-140,17121,3167,7636,6318,0.308763848,0.369487764,0.291706441,0.330597102
-130,18337,3597,7884,6856,0.32118308,0.383105197,0.296623881,0.339864539
-120,19252,3849,7859,7544,0.333860575,0.395854976,0.314068539,0.354961758
-110,19747,4102,7647,7998,0.346782833,0.41023953,0.325373355,0.367806443
-100,20593,4428,7624,8541,0.359935,0.422400816,0.3342199,0.378310358
-90,20952,4633,7420,8899,0.373300918,0.433490836,0.345422735,0.389456786
-80,21708,4908,7326,9474,0.38686318,0.444306247,0.361748482,0.403027364
-70,21928,5258,7032,9638,0.400603203,0.459549435,0.374325757,0.416937596
-60,21756,5473,6586,9697,0.414501321,0.474420849,0.387990015,0.431205432
-50,21346,5431,6267,9648,0.428536883,0.480417877,0.400110579,0.440264228
-40,21257,5590,6023,9644,0.442688366,0.48981512,0.4122086,0.45101186
-30,21441,6017,5672,9752,0.456933508,0.508045334,0.42387284,0.465959087
-20,21425,6217,5425,9783,0.471249436,0.518483081,0.43623327,0.477358175
-10,21209,6493,4986,9730,0.485612816,0.53552737,0.448151853,0.491839612
0,19866,6358,4902,8606,0.5,0.536645525,0.463354475,0.5
10,20994,6876,4699,9419,0.514387184,0.551848147,0.46447263,0.508160388
20,20920,7226,4558,9136,0.528750564,0.56376673,0.481516919,0.522641825
30,21359,7784,4532,9043,0.543066492,0.57612716,0.491954666,0.534040913
40,21534,8133,4352,9049,0.557311634,0.5877914,0.51018488,0.54898814
50,21704,8490,4154,9060,0.571463117,0.599889421,0.519582123,0.559735772
60,21632,8914,4068,8650,0.585498679,0.612009985,0.525579151,0.568794568
70,21691,9350,3898,8443,0.599396797,0.625674243,0.540450565,0.583062404
80,21573,9641,3676,8256,0.61313682,0.638251518,0.555693753,0.596972636
90,21148,9969,3431,7748,0.626699082,0.654577265,0.566509164,0.610543214
100,21055,10367,3386,7302,0.640065,0.6657801,0.577599184,0.621689642
110,20289,10239,3153,6897,0.653217167,0.674626645,0.58976047,0.632193557
120,19405,10139,2923,6343,0.666139425,0.685931461,0.604145024,0.645038242
130,18542,10115,2573,5854,0.67881692,0.703376119,0.616894803,0.660135461
140,17809,9940,2521,5348,0.691236152,0.708293559,0.630512236,0.669402898
150,16597,9555,2109,4933,0.703385003,0.724317648,0.639003115,0.681660382
160,15454,9202,1939,4313,0.715252751,0.734987705,0.658318426,0.696653066
170,14606,8820,1837,3949,0.726830072,0.739045598,0.671315991,0.705180795
180,13704,8455,1552,3697,0.738109033,0.751860771,0.676195189,0.71402798
190,12745,8092,1426,3227,0.749083063,0.761514319,0.690813734,0.726164027
200,11913,7831,1251,2831,0.759746927,0.776168891,0.698769071,0.737468981
