name,year,avg_elo
"Tal, Mihail",1971,2620.0
"Tal, Mihail",1972,2625.0
"Tal, Mihail",1973,2650.2142857142858
"Tal, Mihail",1974,2635.0
"Tal, Mihail",1975,2645.0
"Tal, Mihail",1976,2615.0
"Tal, Mihail",1977,2620.0
"Tal, Mihail",1978,2625.0
"Tal, Mihail",1979,2615.0
"Tal, Mihail",1980,2705.0
"Tal, Mihail",1981,2556.9841269841268
"Tal, Mihail",1982,2614.8947368421054
"Tal, Mihail",1983,2620.0
"Tal, Mihail",1984,2612.1739130434785
"Tal, Mihail",1985,2565.0
"Tal, Mihail",1986,2600.7547169811319
"Tal, Mihail",1987,2609.9484536082473
"Tal, Mihail",1988,2624.8076923076924
"Tal, Mihail",1989,2597.5
"Tal, Mihail",1990,2582.0454545454545
"Tal, Mihail",1991,2567.8082191780823
"Tal, Mihail",1992,2525.0
"Taimanov, Mark E",1971,2604.4444444444443
"Taimanov, Mark E",1972,2590.0
"Taimanov, Mark E",1973,2589.4736842105262
"Taimanov, Mark E",1974,2580.0
"Taimanov, Mark E",1975,2579.9295774647885
"Taimanov, Mark E",1976,2553.4883720930234
"Taimanov, Mark E",1977,2530.0
"Taimanov, Mark E",1978,2530.0
"Taimanov, Mark E",1979,2510.0
"Taimanov, Mark E",1980,2510.0
"Taimanov, Mark E",1981,2500.0
"Taimanov, Mark E",1982,2510.0
"Taimanov, Mark E",1983,2515.0
"Taimanov, Mark E",1984,2513.7209302325582
"Taimanov, Mark E",1986,2500.0
"Taimanov, Mark E",1987,2480.0
"Taimanov, Mark E",1989,2486.3829787234044
"Taimanov, Mark E",1990,2509.2105263157896
"Taimanov, Mark E",1992,2505.0
"Taimanov, Mark E",1993,2500.0
"Taimanov, Mark E",1994,2503.7777777777778
"Taimanov, Mark E",1995,2508.0434782608695
"Taimanov, Mark E",1996,2474.2647058823532
"Taimanov, Mark E",1997,2425.0
"Taimanov, Mark E",1998,2472.3493975903616
"Taimanov, Mark E",1999,2421.3970588235293
"Taimanov, Mark E",2000,2413.8909090909092
"Taimanov, Mark E",2001,2440.6923076923076
"Taimanov, Mark E",2002,2421.92
"Taimanov, Mark E",2003,2409.2647058823532
"Taimanov, Mark E",2004,2407.3636363636365
"Spassky, Boris V",1971,2690.0
"Spassky, Boris V",1972,2660.0
"Spassky, Boris V",1973,2657.1739130434785
"Spassky, Boris V",1974,2648.90625
"Spassky, Boris V",1975,2625.0
"Spassky, Boris V",1976,2630.0
"Spassky, Boris V",1977,2610.4477611940297
"Spassky, Boris V",1978,2628.586956521739
"Spassky, Boris V",1979,2638.7096774193546
"Spassky, Boris V",1980,2615.0
"Spassky, Boris V",1981,2633.181818181818
"Spassky, Boris V",1982,2616.1688311688313
"Spassky, Boris V",1983,2605.0
"Spassky, Boris V",1984,2599.8360655737706
"Spassky, Boris V",1985,2584.4285714285716
"Spassky, Boris V",1986,2603.5353535353534
"Spassky, Boris V",1987,2600.0
"Spassky, Boris V",1988,2567.6027397260273
"Spassky, Boris V",1989,2579.3939393939395
"Spassky, Boris V",1990,2563.478260869565
