decade,white_win,black_win,draw
1830,76,71,13
1840,23,21,6
1850,199,188,38
1860,153,143,48
1870,339,305,147
1880,636,527,420
1890,194,205,160
1900,414,321,226
1910,324,257,149
1920,668,427,433
1930,2290,1662,1351
1940,526,409,283
1950,2869,2269,2904
1960,5318,4015,5363
1970,11364,8835,12495
1980,10770,8327,9986
1990,73295,58167,60747
2000,482391,392567,357804
